id,sentence,graph,variable_name,predicate,broad_aspect,specific_aspect,notes
"pear_story.2
"," U—m the s the scene opens up with um you see a tree ,
","(s2o2 / open-02
  :ARG1 (s2s3 / scene
          :refer-number singular)
  :manner (s2s4 / see-01
            :ARG0 (s2p2 / person
                    :refer-person 2nd
                    :refer-definiteness generic)
            :ARG1 (s2t2 / tree
                    :refer-number singular)
            :aspect blank)
  :aspect blank)
",s2o2,open.02,performance,,
"pear_story.2
"," U—m the s the scene opens up with um you see a tree ,
","(s2o2 / open-02
  :ARG1 (s2s3 / scene
          :refer-number singular)
  :manner (s2s4 / see-01
            :ARG0 (s2p2 / person
                    :refer-person 2nd
                    :refer-definiteness generic)
            :ARG1 (s2t2 / tree
                    :refer-number singular)
            :aspect blank)
  :aspect blank)
",s2s4,see.02,state,,
"pear_story.3
"," k kay ?
","(s3o / okay-04
  :ARG2-of (s3r / request-confirmation-91
             :ARG1 (s3e / event))
  :aspect blank)
",s3o,okay.04,state,,
"pear_story.4
"," And there's a ladder coming out . . o of the tree ,
","(s4c / come-33
        :ARG1 (s4l / ladder
                :refer-number singular)
        :ARG3 (s4t / tree
                :refer-number singular)
        :aspect blank)
",s4c,come.33,state,,
"pear_story.5
"," and there's a man at the top of the ladder ,
","(s5h / have-place-91
        :ARG1 (s5m / man
                :refer-number singular)
        :ARG2 (s5p / place
                :ARG1-of (s5t / top-06
                        :ARG2 (s5l / ladder
                                :refer-number singular)))
        :aspect blank)
",s5h,have-place.91,state,,
"pear_story.6
"," you can't see him yet .
","(s6s / see-01
  :polarity -
  :ARG0 (s6p / person
          :refer-person 2nd
          :refer-definiteness generic)
  :ARG1 (s6p2 / person
          :refer-person 3rd
          :refer-number singular)
  :temporal (s6y / yet)
  :aspect blank)
",s6s,see.01,state,,
"pear_story.7
"," A-nd then . . it shifts
","(s7s / shift-01
  :ARG1 (s7t / thing
          :refer-person 3rd
          :refer-number singular)
  :temporal (s7t2 / then)
  :aspect blank)
",s7s,shift.01,performance,,
"pear_story.8
"," and you see him ,
","(s8s / see-01
  :ARG0 (s8p / person
          :refer-person 2nd
          :refer-definiteness generic)
  :ARG1 (s8e / event
          :ARG0 (s8p2 / person
                  :refer-person 3rd
                  :refer-number singular))
  :aspect blank)
",s8s,see.01,state,,
"pear_story.9
"," plucking a pear from the tree .
","(s9p / pluck-01
  :ARG0 (s9p2 / person)
  :ARG1 (s9p3 / pear
          :refer-number singular)
  :ARG2 (s9t / tree
          :refer-number singular)
  :aspect blank)
",s9p,pluck.01,activity,,
"pear_story.10
"," And you watch him pluck a few pears ,
","(s10w / watch-01
  :ARG0 (s10p / person
          :refer-person 2nd
          :refer-definiteness generic)
  :ARG1 (s10p2 / pluck-01
          :ARG0 (s10p3 / person
                  :refer-person 3rd
                  :refer-number singular)
          :ARG1 (s10p4 / pear
                  :quant (s10a / a-few))
          :aspect blank)
  :aspect blank)
",s10w,watch.01,state,,
"pear_story.10
"," And you watch him pluck a few pears ,
","(s10w / watch-01
  :ARG0 (s10p / person
          :refer-person 2nd
          :refer-definiteness generic)
  :ARG1 (s10p2 / pluck-01
          :ARG0 (s10p3 / person
                  :refer-person 3rd
                  :refer-number singular)
          :ARG1 (s10p4 / pear
                  :quant (s10a / a-few))
          :aspect blank)
  :aspect blank)
",s10p2,pluck.01,activity,,
